title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
LittleBigPlanet PS Vita,PlayStation Vita,9.0,2012,9,12,1298,Platform,Sony Computer Entertainment,0.4,0.72,0.02,0.33,1.47,88,71,8.6,348
NHL 13,PlayStation 3,8.5,2012,9,11,3097,Sports,Electronic Arts,0.33,0.22,0.0,0.1,0.65,83,44,6.6,86
Tekken Tag Tournament 2,PlayStation 3,7.5,2012,9,11,2372,Fighting,Namco Bandai Games,0.28,0.33,0.13,0.14,0.88,82,50,8.2,193
Way of the Samurai 4,PlayStation 3,5.5,2012,9,3,7571,Action,Nippon Ichi Software,0.0,0.03,0.16,0.01,0.2,58,25,6.5,15
Legasista,PlayStation 3,6.5,2012,8,28,13990,Role-Playing,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04,68,13,6.3,15
Resident Evil 6,PlayStation 3,7.9,2012,10,1,439,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15,74,34,5.4,1304
Madden NFL 13,PlayStation Vita,6.0,2012,8,24,5590,Sports,Electronic Arts,0.3,0.0,0.0,0.03,0.32,81,36,5.8,179
Madden NFL 13,PlayStation 3,9.0,2012,8,24,604,Sports,Electronic Arts,2.11,0.23,0.0,0.22,2.56,81,36,5.8,179
Madden NFL 13,PlayStation 3,9.0,2012,8,24,16130,Sports,Electronic Arts,0.0,0.01,0.0,0.0,0.01,81,36,5.8,179
NBA 2K13,PlayStation 3,9.1,2012,9,27,624,Sports,Take-Two Interactive,1.72,0.44,0.05,0.27,2.48,88,41,7.2,131
Dead or Alive 5,PlayStation 3,8.8,2012,9,25,3127,Fighting,Tecmo Koei,0.23,0.15,0.2,0.07,0.65,74,34,7.7,109
Transformers: Fall of Cybertron,PlayStation 3,8.5,2012,8,21,4741,Action,Activision,0.19,0.15,0.0,0.07,0.41,79,52,8.3,160
FIFA Soccer 13,PlayStation Vita,4.0,2012,10,12,4180,Action,Electronic Arts,0.0,0.3,0.05,0.12,0.47,88,37,6.6,348
Mugen Souls,PlayStation 3,3.9,2012,10,12,8658,Role-Playing,Nippon Ichi Software,0.04,0.03,0.08,0.01,0.16,55,24,7.3,35
Dokuro,PlayStation Vita,8.8,2012,10,19,16271,Action,GungHo,0.0,0.0,0.01,0.0,0.01,76,26,8,18
Skylanders Giants,PlayStation 3,8.0,2012,10,18,1891,Action,Activision,0.35,0.52,0.0,0.22,1.09,78,8,7,20
FIFA Soccer 13,PlayStation 3,9.0,2012,9,20,83,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,88,37,6.6,348
Sleeping Dogs,PlayStation 3,8.5,2012,8,14,1950,Action,Square Enix,0.31,0.5,0.05,0.19,1.06,83,40,7.7,645
Darksiders II,PlayStation 3,7.5,2012,8,14,2414,Action,THQ,0.35,0.37,0.01,0.14,0.86,84,39,7.1,422
Silent Hill: Book of Memories,PlayStation Vita,6.0,2012,10,24,6948,Action,Konami Digital Entertainment,0.13,0.06,0.0,0.04,0.24,58,57,5.1,102
One Piece: Pirate Warriors,PlayStation 3,6.0,2012,10,8,1685,Action,Namco Bandai Games,0.01,0.24,0.86,0.09,1.2,64,33,6.5,55
XCOM: Enemy Unknown,PlayStation 3,8.2,2012,10,8,3370,Strategy,Take-Two Interactive,0.24,0.25,0.0,0.11,0.6,89,57,8.2,2235
Dishonored,PlayStation 3,9.2,2012,10,7,1197,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55,88,56,7.9,815
Angry Birds Trilogy,PlayStation 3,7.0,2012,10,6,8546,Action,Activision,0.12,0.02,0.0,0.02,0.16,62,7,4.6,20
F1 2012,PlayStation 3,9.0,2012,9,17,1933,Racing,Codemasters,0.12,0.64,0.05,0.25,1.07,81,23,7.5,54
Pro Evolution Soccer 2013,PlayStation 3,8.5,2012,9,17,1186,Sports,Konami Digital Entertainment,0.18,0.64,0.49,0.25,1.56,82,37,6.7,146
Borderlands 2,PlayStation 3,9.0,2012,9,13,705,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28,89,59,8.2,892
Tokyo Jungle,PlayStation 3,8.0,2012,9,13,6578,Action,Sony Computer Entertainment,0.0,0.0,0.26,0.0,0.26,74,60,8.4,89
Zone of the Enders HD Collection,PlayStation 3,7.0,2012,11,1,4545,Simulation,Konami Digital Entertainment,0.21,0.08,0.09,0.05,0.43,73,27,8,42
Ragnarok Odyssey,PlayStation Vita,5.0,2012,10,30,4597,Role-Playing,GungHo,0.22,0.01,0.16,0.03,0.42,66,21,7.8,111
Assassin's Creed III: Liberation,PlayStation Vita,7.2,2012,10,30,1288,Action,Ubisoft,0.58,0.55,0.06,0.28,1.47,70,71,7.2,318
Assassin's Creed III,PlayStation 3,8.5,2012,10,30,129,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,85,41,6.9,1307
WWE '13,PlayStation 3,8.4,2012,10,29,1399,Action,THQ,0.51,0.62,0.0,0.26,1.39,76,24,8.1,99
F1 Race Stars,PlayStation 3,5.2,2012,11,13,5344,Racing,Codemasters,0.06,0.21,0.0,0.08,0.35,61,27,5.6,34
Call of Duty: Black Ops II,PlayStation 3,9.3,2012,11,13,35,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,83,21,5.3,922
LittleBigPlanet Karting,PlayStation 3,5.0,2012,11,6,2321,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9,73,69,6.9,159
Hitman: Absolution,PlayStation 3,9.0,2012,11,18,747,Action,Square Enix,0.59,1.07,0.07,0.45,2.19,83,30,7.5,511
Sonic & All-Stars Racing Transformed,PlayStation Vita,7.0,2012,12,17,4083,Racing,Sega,0.12,0.25,0.0,0.11,0.48,,,,
Ratchet & Clank: Full Frontal Assault,PlayStation 3,6.4,2012,12,14,7111,Adventure,Sony Computer Entertainment,0.19,0.01,0.0,0.02,0.23,,,,
Sonic & All-Stars Racing Transformed,PlayStation 3,8.6,2012,11,15,3705,Racing,Sega,0.08,0.33,0.01,0.11,0.54,,,,
Ni no Kuni: Wrath of the White Witch,PlayStation 3,9.4,2013,1,15,1206,Role-Playing,Namco Bandai Games,0.6,0.51,0.21,0.23,1.55,85,89,8.6,984
Family Guy: Back to the Multiverse,PlayStation 3,6.0,2012,11,27,6093,Action,Activision,0.12,0.12,0.0,0.05,0.29,40,9,6.4,31
DmC: Devil May Cry,PlayStation 3,8.5,2013,1,14,2520,Action,Capcom,0.24,0.28,0.19,0.12,0.82,85,40,5.3,1471
Far Cry 3,PlayStation 3,9.0,2012,11,21,383,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45,90,32,8.5,1041
Anarchy Reigns,PlayStation 3,5.9,2013,1,11,7484,Action,Sega,0.1,0.03,0.06,0.02,0.21,71,35,8.2,106
PlayStation All-Stars Battle Royale,PlayStation Vita,8.0,2012,11,20,3852,Action,Sony Computer Entertainment,0.26,0.15,0.01,0.1,0.52,74,69,7.3,540
LEGO The Lord of the Rings,PlayStation 3,6.8,2012,11,26,1855,Action,Warner Bros. Interactive Entertainment,0.36,0.53,0.0,0.21,1.1,80,49,8.5,73
PlayStation All-Stars Battle Royale,PlayStation 3,8.0,2012,11,20,2153,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96,74,69,7.3,540
Return Fire,PlayStation,7.0,1996,11,25,10961,Strategy,Time Warner Interactive,0.05,0.03,0.0,0.01,0.09,,,,
Crash Bandicoot,PlayStation,7.5,1996,11,21,117,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,
Assault Rigs,PlayStation,6.0,1996,11,21,13480,Action,Electronic Arts Victor,0.02,0.02,0.0,0.0,0.04,,,,
Bottom of the 9th,PlayStation,8.0,1996,11,21,9192,Sports,Konami Digital Entertainment,0.08,0.05,0.0,0.01,0.14,,,,
Adidas Power Soccer,PlayStation,7.0,1996,11,21,13911,Sports,Psygnosis,0.02,0.01,0.0,0.0,0.04,,,,
Alien Trilogy,PlayStation,8.0,1996,11,21,4150,Shooter,Acclaim Entertainment,0.24,0.16,0.04,0.03,0.47,,,,
Fade to Black,PlayStation,7.0,1996,11,21,5434,Action,Electronic Arts,0.19,0.13,0.0,0.02,0.34,,,,
Die Hard Trilogy,PlayStation,7.5,1996,11,21,1218,Shooter,Fox Interactive,0.85,0.58,0.0,0.1,1.54,,,,
Andretti Racing,PlayStation,8.0,1996,11,21,2663,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77,,,,
Die Hard Trilogy,PlayStation,7.5,1996,11,21,1218,Shooter,Fox Interactive,0.85,0.58,0.0,0.1,1.54,,,,
Gunship,PlayStation,3.0,1996,11,25,6302,Simulation,Microprose,0.15,0.1,0.0,0.02,0.27,,,,
HardBall 5,PlayStation,4.0,1996,11,25,9888,Sports,SPS,0.07,0.04,0.0,0.01,0.12,,,,
WipEout XL,PlayStation,9.0,1996,11,26,6657,Racing,Psygnosis,0.14,0.1,0.0,0.02,0.25,93,8,8.7,20
Descent,PlayStation,7.0,1996,11,21,7799,Shooter,Interplay,0.11,0.07,0.0,0.01,0.19,,,,
The King of Fighters '95,PlayStation,5.0,1996,11,25,8303,Fighting,Sony Computer Entertainment,0.0,0.0,0.16,0.01,0.17,,,,
Jumping Flash! 2,PlayStation,8.0,1996,11,25,6753,Platform,Sony Computer Entertainment,0.05,0.03,0.15,0.02,0.25,,,,
International Track & Field,PlayStation,7.0,1996,11,25,3887,Sports,Konami Digital Entertainment,0.08,0.05,0.35,0.03,0.51,,,,
PO'ed,PlayStation,8.0,1996,11,25,13909,Shooter,Time Warner Interactive,0.02,0.01,0.0,0.0,0.04,,,,
Tetris Plus,PlayStation,6.0,1996,11,26,647,Puzzle,JVC,2.1,0.24,0.0,0.07,2.4,,,,
Tokyo Highway Battle,PlayStation,7.0,1996,11,26,5447,Racing,Jaleco,0.06,0.04,0.21,0.02,0.33,,,,
Batman Forever: The Arcade Game,PlayStation,5.0,1996,11,2,14192,Action,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,,,,
SimCity 2000,PlayStation,7.0,1996,11,25,1647,Simulation,Maxis,0.68,0.46,0.0,0.08,1.22,,,,
Formula 1,PlayStation,8.0,1996,11,25,2689,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76,,,,
Tekken 2,PlayStation,9.0,1996,11,26,153,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102
Skeleton Warriors,PlayStation,5.0,1996,11,25,11626,Platform,Virgin Interactive,0.04,0.03,0.0,0.01,0.08,,,,
Rally Cross,PlayStation,7.0,1997,2,20,5639,Racing,Sony Computer Entertainment,0.18,0.12,0.0,0.02,0.32,,,,
Grid Runner,PlayStation,6.0,1997,2,10,14595,Action,Virgin Interactive,0.02,0.01,0.0,0.0,0.03,,,,
Virtual Pool,PlayStation,7.0,1997,2,10,3901,Sports,Interplay,0.28,0.19,0.0,0.03,0.51,,,,
Peak Performance,PlayStation,7.0,1997,4,29,14455,Racing,JVC,0.02,0.01,0.0,0.0,0.03,,,,
Independence Day,PlayStation,2.0,1997,4,23,4440,Shooter,Fox Interactive,0.25,0.17,0.0,0.03,0.44,,,,
Buster Bros. Collection,PlayStation,6.0,1997,4,21,11755,Puzzle,Capcom,0.04,0.03,0.0,0.0,0.07,,,,
Destruction Derby 2,PlayStation,7.2,1996,12,23,1737,Racing,Psygnosis,0.65,0.44,0.0,0.08,1.17,,,,
Blood Omen: Legacy of Kain,PlayStation,8.5,1997,1,31,4451,Role-Playing,Crystal Dynamics,0.25,0.17,0.0,0.03,0.44,,,,
NHL FaceOff '97,PlayStation,8.0,1997,1,28,4264,Sports,Sony Computer Entertainment,0.26,0.17,0.0,0.03,0.46,,,,
Super Puzzle Fighter II Turbo,PlayStation,9.0,1997,1,27,9217,Puzzle,Virgin Interactive,0.08,0.05,0.0,0.01,0.14,83,9,7.4,5
Battle Stations,PlayStation,6.0,1997,4,16,2643,Strategy,Electronic Arts,0.43,0.29,0.0,0.05,0.78,,,,
Nanotek Warrior,PlayStation,8.0,1997,4,14,14807,Shooter,Virgin Interactive,0.01,0.01,0.0,0.0,0.03,,,,
Rush Hour,PlayStation,6.0,1997,4,14,14718,Misc,Psygnosis,0.02,0.01,0.0,0.0,0.03,,,,
Vandal Hearts,PlayStation,8.0,1997,4,9,4401,Role-Playing,Konami Digital Entertainment,0.14,0.09,0.19,0.03,0.45,,,,
Mortal Kombat Trilogy,PlayStation,6.0,1996,12,19,533,Fighting,GT Interactive,1.98,0.7,0.0,0.11,2.79,,,,
Pitball,PlayStation,5.0,1996,12,18,14877,Sports,Time Warner Interactive,0.01,0.01,0.0,0.0,0.03,,,,
MLB Pennant Race,PlayStation,5.0,1996,12,17,6053,Sports,Sony Computer Entertainment,0.16,0.11,0.0,0.02,0.29,,,,
Project Overkill,PlayStation,5.0,1997,1,21,6752,Shooter,Konami Digital Entertainment,0.14,0.09,0.0,0.02,0.25,,,,
Crusader: No Remorse,PlayStation,7.0,1997,1,21,13352,Adventure,Electronic Arts,0.03,0.02,0.0,0.0,0.05,,,,
VR Golf '97,PlayStation,8.0,1997,1,20,8390,Sports,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.17,,,,
Twisted Metal 2,PlayStation,7.3,1997,1,7,632,Racing,Sony Computer Entertainment,2.12,0.25,0.0,0.07,2.44,,,,
Jet Moto,PlayStation,8.0,1997,1,3,948,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83,,,,
Big Bass World Championship,PlayStation,6.0,1997,3,27,5203,Sports,Starfish,0.2,0.14,0.0,0.02,0.36,,,,
NBA ShootOut '97,PlayStation,9.0,1997,3,18,3246,Sports,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.62,,,,
The Crow: City of Angels,PlayStation,1.0,1997,3,11,15543,Action,Acclaim Entertainment,0.01,0.01,0.0,0.0,0.02,,,,
Star Wars: Dark Forces,PlayStation,5.0,1996,12,13,3667,Shooter,LucasArts,0.31,0.21,0.0,0.04,0.55,,,,
Cool Boarders,PlayStation,7.0,1996,12,13,4542,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43,,,,
Street Fighter Alpha 2,PlayStation,8.5,1996,12,11,2437,Fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85,,,,
Black Dawn,PlayStation,7.5,1997,1,2,9608,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01,0.13,,,,
Crypt Killer,PlayStation,4.0,1997,3,7,13902,Shooter,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.04,,,,
Spot Goes to Hollywood,PlayStation,3.0,1996,11,26,11842,Platform,Virgin Interactive,0.04,0.03,0.0,0.0,0.07,,,,
VR Soccer '96,PlayStation,7.7,1996,11,26,13282,Sports,Gremlin Interactive Ltd,0.03,0.02,0.0,0.0,0.05,,,,
WipEout XL,PlayStation,9.0,1996,11,26,6657,Racing,Psygnosis,0.14,0.1,0.0,0.02,0.25,93,8,8.7,20
Xevious 3D/G+,PlayStation,8.0,1997,6,11,9099,Shooter,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14,,,,
Thunder Truck Rally,PlayStation,7.0,1997,6,3,9033,Racing,Psygnosis,0.08,0.05,0.0,0.01,0.14,,,,
Broken Helix,PlayStation,6.0,1997,5,29,12656,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.0,0.06,,,,
War Gods,PlayStation,4.0,1997,5,23,14905,Fighting,GT Interactive,0.01,0.01,0.0,0.0,0.03,,,,
Descent Maximum,PlayStation,7.5,1997,5,23,10751,Shooter,Interplay Productions,0.05,0.04,0.0,0.01,0.1,,,,
Wing Commander IV: The Price of Freedom,PlayStation,4.0,1997,5,21,11248,Simulation,Origin Systems,0.05,0.03,0.0,0.01,0.09,,,,
Wild ARMs,PlayStation,8.0,1997,5,20,2183,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95,,,,
Rage Racer,PlayStation,7.0,1997,5,19,1734,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17,,,,
Grand Slam,PlayStation,6.0,1997,5,13,13514,Misc,Virgin Interactive,0.02,0.02,0.0,0.0,0.04,,,,
Tail of the Sun,PlayStation,7.0,1997,5,9,15651,Role-Playing,ArtDink,0.01,0.01,0.0,0.0,0.02,,,,
Goal Storm '97,PlayStation,6.0,1997,5,6,10340,Sports,Konami Digital Entertainment,0.01,0.0,0.09,0.01,0.11,,,,
Psychic Force,PlayStation,5.0,1997,4,29,8664,Fighting,Acclaim Entertainment,0.01,0.01,0.13,0.01,0.16,,,,
The Lost World: Jurassic Park,PlayStation,5.0,1997,8,26,2037,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.02,,,,
NFL GameDay 98,PlayStation,8.8,1997,8,26,1076,Sports,Sony Computer Entertainment,1.58,0.06,0.0,0.04,1.68,,,,
Ace Combat 2,PlayStation,9.0,1997,8,22,2341,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83,10,8.2,22
Porsche Challenge,PlayStation,8.0,1997,8,5,11060,Racing,Sony Computer Entertainment,0.05,0.03,0.0,0.01,0.09,,,,
Lethal Enforcers I & II,PlayStation,4.0,1997,8,5,14478,Shooter,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,,,,
VMX Racing,PlayStation,5.0,1997,7,25,6112,Racing,Playmates,0.16,0.11,0.0,0.02,0.28,,,,
Jet Moto 2,PlayStation,7.0,1997,11,12,884,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94,,,,
Cool Boarders 2,PlayStation,7.2,1997,11,11,717,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25,,,,
Time Crisis,PlayStation,8.0,1997,11,11,1079,Shooter,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68,,,,
Maximum Force,PlayStation,5.0,1997,9,25,10178,Shooter,GT Interactive,0.06,0.04,0.0,0.01,0.11,,,,
Treasures of the Deep,PlayStation,8.0,1997,9,24,7995,Action,Namco Bandai Games,0.1,0.07,0.0,0.01,0.19,,,,
Discworld II: Mortality Bytes!,PlayStation,6.0,1997,9,24,15763,Adventure,Psygnosis,0.01,0.01,0.0,0.0,0.02,,,,
Nuclear Strike,PlayStation,7.6,1997,9,24,1688,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19,,,,
NASCAR 98,PlayStation,8.0,1997,9,23,1234,Racing,Electronic Arts,1.43,0.05,0.0,0.04,1.52,,,,
Herc's Adventures,PlayStation,6.0,1997,7,18,13829,Action,Virgin Interactive,0.02,0.01,0.0,0.0,0.04,,,,
Syndicate Wars,PlayStation,5.0,1997,7,16,13826,Strategy,Electronic Arts,0.02,0.01,0.0,0.0,0.04,,,,
Darklight Conflict,PlayStation,7.0,1997,6,30,13914,Simulation,Electronic Arts,0.02,0.01,0.0,0.0,0.04,,,,
Dynasty Warriors,PlayStation,7.8,1997,6,27,6277,Action,Tecmo Koei,0.09,0.06,0.11,0.02,0.27,,,,
San Francisco Rush: Extreme Racing,PlayStation,5.0,1998,4,2,4986,Racing,GT Interactive,0.21,0.15,0.0,0.03,0.38,,,,
Judge Dredd,PlayStation,2.0,1998,4,1,12939,Platform,Gremlin Interactive Ltd,0.03,0.02,0.0,0.0,0.05,,,,
Mass Destruction,PlayStation,7.0,1997,11,5,10084,Shooter,BMG Interactive Entertainment,0.06,0.04,0.0,0.01,0.11,,,,
Need for Speed: V-Rally,PlayStation,8.0,1997,11,5,2386,Racing,Infogrames,0.43,0.29,0.09,0.06,0.87,,,,
Crash Bandicoot 2: Cortex Strikes Back,PlayStation,8.5,1997,11,4,96,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,
Colony Wars,PlayStation,9.3,1997,11,4,4594,Simulation,Psygnosis,0.24,0.16,0.0,0.03,0.42,91,12,7.8,12
Frogger,PlayStation,2.0,1997,11,3,279,Action,Hasbro Interactive,3.79,0.27,0.0,0.11,4.16,,,,
Moto Racer,PlayStation,7.5,1997,11,3,2570,Racing,Electronic Arts,0.45,0.3,0.0,0.05,0.8,,,,
Shadow Master,PlayStation,4.0,1998,2,25,10771,Adventure,Psygnosis,0.05,0.04,0.0,0.01,0.1,,,,
Oddworld: Abe's Oddysee,PlayStation,7.5,1997,9,22,1606,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24,85,10,9,96
Poy Poy,PlayStation,8.0,1997,9,18,14789,Action,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.03,,,,
Bottom of the 9th '97,PlayStation,6.0,1997,9,18,15077,Sports,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.02,,,,
RayStorm,PlayStation,7.5,1997,9,11,12031,Shooter,Sony Computer Entertainment,0.04,0.03,0.0,0.0,0.07,79,7,7.8,4
Battle Arena Toshinden 3,PlayStation,6.3,1997,6,25,6412,Fighting,Sony Computer Entertainment,0.06,0.04,0.14,0.02,0.27,,,,
Armored Core,PlayStation,8.0,1997,10,22,4736,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41,,,,
Bushido Blade,PlayStation,8.7,1997,10,17,1749,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,83,13,7.9,16
